cid,model,badge,badgedetail,formyear,mileage,price,color,accident
31168833,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,38475,1430,쥐색,
30808012,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,48876,1250,검정색,frontDoorLeft
31247958,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,54914,1320,은색,
30790722,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,62154,1180,흰색,frontFenderRight|hood|frontFenderLeft
30704342,"아반떼 AD","1.6 GDI 스타일","",2018,77645,1060,은색,frontFenderRight|rearDoorRight|trunkLead|frontDoorRight|radiatorSupport
30305514,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,90000,1220,흰색,
30516962,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2017,92785,1330,흰색,
30478173,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,93940,1230,청색,
31109524,"아반떼 AD","1.6 GDI 스타일","",2017,91020,990,은회색,
31149550,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,63378,1330,쥐색,
29888154,"아반떼 AD","1.6 GDI 스타일","",2018,126969,1170,진주색,frontFenderRight
29655775,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,119007,1270,쥐색,
30330005,"아반떼 AD","1.6 GDI 프리미엄","",2016,75000,1060,빨간색,quarterPanelRight|quarterPanelLeft|hood|trunkLead|trunkFloor|rearPanel
30015644,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,86590,1125,흰색,frontFenderRight|hood|radiatorSupport|frontFenderLeft
31078640,"아반떼 AD","1.6 GDI 스타일","",2016,179000,760,흰색,quarterPanelRight|rearDoorRight|frontDoorRight|pillarPanelMiddleRight
30985476,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,98752,990,흰색,rearDoorRight|sideSillPanelRight|frontDoorRight
30969158,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,205055,740,흰색,frontFenderRight|frontSideMemberLeft|frontSideMemberRight|frontWheelHouseLeft|hood|trunkLead|insidePanelLeft|radiatorSupport|frontFenderLeft|rearPanel
31167290,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,65656,1210,검정색,
30838886,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,110000,1159,흰색,trunkLead
30967827,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,59842,1290,빨간색,
29459175,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,66000,1099,은색,quarterPanelLeft|trunkLead|sideSillPanelLeft
31075463,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,42210,1390,은색,
31244195,"아반떼 AD","1.6 GDI 모던","스페셜",2016,93200,1230,흰색,hood|radiatorSupport
31116558,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,87851,1080,흰색,frontSideMemberLeft|frontSideMemberRight|radiatorSupport|frontFenderLeft
31156614,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2018,62761,1370,흰색,radiatorSupport|rearDoorLeft
31040772,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,71000,1230,은색,hood|radiatorSupport
31174281,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,78138,1280,흰색,rearDoorRight
30628250,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,49877,1430,쥐색,
31164727,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,45496,1420,쥐색,
31245071,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,54000,1290,청색,frontFenderRight|hood|radiatorSupport|frontFenderLeft
30538017,"아반떼 AD","1.6 GDI 프리미엄","",2017,19300,1520,진주색,frontFenderRight
30943413,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,98400,1270,흰색,
27535129,"아반떼 AD","1.6 GDI 모던","스페셜",2017,77000,1130,검정색,
30982571,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,107900,1050,흰색,
31087129,"아반떼 AD","1.6 GDI 스마트","스페셜",2016,90891,1240,흰색,
31145201,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2016,127763,950,흰색,frontFenderRight|rearDoorRight|frontDoorRight
30254174,"아반떼 AD","1.6 GDI 밸류 플러스","",2018,75465,1270,쥐색,trunkLead
31103136,"아반떼 AD","1.6 GDI 밸류 플러스","",2017,62259,1260,흰색,frontFenderRight|hood
31094890,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,53566,1199,쥐색,frontFenderRight|hood|frontDoorRight|frontFenderLeft
31235737,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,111522,1130,흰색,frontFenderLeft
31140985,"아반떼 AD","1.6 GDI 모던","(세부등급 없음)",2018,87300,1330,청색,
30962907,"아반떼 AD","1.6 GDI 스마트","(세부등급 없음)",2016,114861,970,쥐색,frontFenderRight|hood|radiatorSupport|frontFenderLeft
